Index,,Puesto laboral,Empresa,Estado,Ciudad,Salario mínimo,Salario máximo,Tipo de moneda,Giro de la empresa,Fecha de publicación,Vigencia de la oferta,Modalidad,País,,Cantidad de lenguajes requeridos,Nivel de experiencia,Requerimiento educación,Salario promedio,Lenguajes de programación,Modalidad,Estudios previos,Experiencia (Años) ,Habilidades blandas,Idiomas,Esquema de pago,Persona,Descripción
248,Capturista y analista de datos RHENEGRAM,Capturista y analista de datos,RHENEGRAM,not specified,not specified,500,600,MXN,not specified,18/08/22,15/10/22,FULL_TIME,MX,,1,Not specified,1,550,CRMS,-,Licenciatura terminada (Deseable),1,-,-,month,Carlos,Uso de plataforma CRM. Brindar información a clientes a través del sistema o CRM. Seguimiento a clientes. Apegado a normas y procedimientos para brindar seguimiento a través del programa o plataforma.
249,Analista de Datos TRES R,Analista de Datos,TRES R,not specified,not specified,750,,MXN,not specified,05/09/22,15/10/22,FULL_TIME,MX,,1,Not specified,1,750,excel,presencial,"Matemáticas, Administración, Economía, Finanzas, Actuaría e Ingeniería Industrial.",1, Aptitudes analíticas y numéricas desarrolladas,-,month,Carlos,Aptitudes analíticas y numéricas desarrolladas. Nociones básicas en pricing ó inventarios.
250,Sales Operations Analyst Apli,Sales Operations Analyst,Apli,not specified,not specified,500,1000,MXN,not specified,16/08/22,15/10/22,FULL_TIME,MX,,2,Not specified,1,750,"Excel, Google Sheets",-,Bachillerato completado o licenciatura trunca,1,"Personalidad emprendedora, proactiva e ingeniosa",Ingles (deseable),month,Carlos,"Tu misión (si decides aceptarla), será limpiar, organizar, combinar datos relacionados con procesos comerciales para que consigamos más clientes, más rápido.En un día típico en Apli vas aPreparar bases de contactos. Asegurar la calidad de los datos en nuestro CRM. Enviar cadencias programadas de correos a prospectos. Dar seguimiento por correo a los prospectos comerciales. Revisar el desempeño de nuestros representantes de ventas. Crear reportes. Mejorar y automatizar procesos de ventasEsta oportunidad es para ti si tienesOrtografía impecableBachillerato completado o licenciatura trunca. Gusto y habilidad para analizar y organizar grandes volúmenes de datos. Es un plus si. Puedes entender documentación técnica en inglés. Manejas algún CRM. Tienes experiencia generando y limpiando bases de datosSerás ideal para este puesto si. Tienes tanta orientación al detalle que casi podríamos confundirte con una lupa. Te duelen las faltas de ortografía aunque estén a 1 km de distanciaTienes cuidado porque sabes que del plato a la boca se puede caer la sopa"
251,Analista de datos - Operaciones OCEANO SCENERY OPPORTUNITY HOLDING PTE. LTD.,Analista de datos - Operaciones,OCEANO SCENERY OPPORTUNITY HOLDING PTE. LTD.,not specified,not specified,400,,MXN,not specified,10/09/22,15/10/22,FULL_TIME,MX,,1,Not specified,0,400,Excel,-,"Lic. Trunca - Administración, economía, negocios internacionales A fin",0,-,-,not specified,Carlos,Generar DATA. Seguimiento a eficiencia de mensajeros. Seguimiento a alertas en operaciones. Análisis de datos
252,Analista de bases de datos AT&T,Analista de bases de datos,AT&T,México,Naucalpan,750,810,MXN,Telecomunicaciones,09/09/22,15/10/22,FULL_TIME,MX,,3,Not specified,1,780,"Excel, Oracle Sql, Unix",-,Licenciatura o ingenieria en sistemas o a fín,1,-,-,month,Carlos,"Manejo de bases de datos, desarrollo y automatización de procesos Excel Medio/Avanzado Oracle Sql Medio/Avanzado Unix Basico. ACTIVIDADES:Establecer y ejecutar procesos de conciliación de recargas electrónicas cursadas a través de bancos y otros puntos de venta, automatizando y dando seguimiento puntual a diferencias dadas por proceso.De las diferencias resultantes por proceso de conciliación, asegurar el correcto seguimiento con el tercero a modo de dar completa certeza a las cifras de facturación de las recargas pendientes por conciliar y que están a favor representando un ingreso a la compañía.Extracción y carga de información relacionada a las recargas de tiempo aire, a fin de establecer procesos para reporteo de comportamiento, lo anterior a modo de dar explicación ante posibles variaciones en su comportamiento, dando seguimiento y asociando una justificación valida a dicho comportamiento.Participación en procesos UAT / PVT / Sanity Operativo, a modo de asegurar la correcta migración de las cadenas así como la implementación de nuevos canales u otros proyectos con miras al crecimiento del negocio.Revisar las cifras de tiempo aire día a día a modo de asegurar el 100% de recargas conciliadas, conforme a lo extraído desde las fuentes internas"
253,Analista de Datos Junior SOC Asesores,Analista de Datos Junior,SOC Asesores,not specified,not specified,522.35,,MXN,not specified,24/08/22,15/10/22,FULL_TIME,MX,,4,Junior,1,522.35,"SQL, Power BI, Excel",Híbrido,Licenciatura afín,1,"Comunicación, proactividad, trabajo en equipo, enfoque al detalle, analítico, responsable.",-,month,Carlos,"Documentación de procedimientos y actividades. Seguimiento a solicitudes por parte del área operativa. Capacidad de análisis con conocimiento para realizar mejoras tanto en configuraciones, performances relacionados a motores de bases de datos, todos sus objetos, conexiones y consultas."
254,Analista de Planeación Financiera Confidencial,Analista de Planeación Financiera,Confidencial,México,Ciudad de México,900,1100,MXN,not specified,15/09/22,15/10/22,FULL_TIME,MX,,3,Not specified,1,1000,Excel,Híbrido,"Lic. Finanzas, Economía, Actuaría o Administración",3,-,,month,Carlos,"Conocimientos de Contabilidad, Estados Financieros, Costos, Rentabilidad, Presupuestos, bases de datos. Planeación y análisis financiero. Experiencia en la gestión/atención a áreas comerciales y operativas como cliente interno"
255,Analista de Datos Grupo Ortiz SA DE CV,Analista de Datos,Grupo Ortiz SA DE CV,Michoacán,Morelia,400,500,MXN,not specified,14/09/22,15/10/22,FULL_TIME,MX,,4,Not specified,1,450,"Excel, Google Sheets",-,Ingeniería o licenciatura concluida,1,-,-,week,Carlos,"Elaboración y comunicación de datos estadísticos de producción para la toma de decisiones. Clasificar y analizar información. Elaborar reportes estadísticos de tendencias y resultados de los diferentes datos Interpretación, comunicación y exposición de datos y tendencias numéricasAlgunas otras funciones derivadas del puesto"
256,Analista de Datos BRUDIFARMA SA DE CV,Analista de Datos,BRUDIFARMA SA DE CV,México,Tlalnepantla,600,700,MXN,not specified,29/08/22,15/10/22,FULL_TIME,MX,,1,Not specified,1,650,SAP,-,Bachillerato con carrera técnica o licenciatura administrativa,2,-,-,month,Carlos,Analista de datos. Manejo de SAP en módulos de compras
257,Analista de Finanzas (CxC) OGGI JEANS,Analista de Finanzas (CxC),OGGI JEANS,not specified,not specified,500,650,MXN,not specified,31/08/22,15/10/22,FULL_TIME,MX,,3,Not specified,0,575,"Office, Excel, ERP, COI",,"Pasante de contabilidad, finanzas, administración o afín",2,"Responsabilidad, Honestidad, Comunicación efectiva, Empatía",-,month,Carlos,"Actividades o funciones del puesto: Seguimiento del área de crédito y cobranza. Minimizar el riesgo de pérdida de ingresos. Gestionar la cobranza de las facturas a crédito que emite la empresa. Seguimiento del control documental. Seguimiento de la ejecución de la cartera y las necesidades de presupuesto a corto, mediano y largo plazo. Control del archivo de los soportes físicos. Seguimiento de negociaciones con clientes"
258,Analista Administrativo - Excel Intermedio FARMACOS NACIONALES SA DE CV,Analista Administrativo - Excel Intermedio,FARMACOS NACIONALES SA DE CV,not specified,not specified,600,,MXN,not specified,25/08/22,15/10/22,FULL_TIME,MX,,2,Not specified,1,600,"excel, Bases de datos",-,Licenciatura,1,-,-,month,Carlos,"Control de la plantilla de fuerza de ventas, requisiciones.Manejo de reportes.Cambios de cuentas en sistema.Seguimiento y control a la asignación de EDA.Control de archivo y documentación."
259,Analista de Migracion de Datos (Data Migration Analyst) CodersLink,Analista de Migracion de Datos (Data Migration Analyst),CodersLink,not specified,not specified,2500,5000,MXN,not specified,09/09/22,15/10/22,FULL_TIME,MX,,6,Not specified,1,3750,"Python, SQL",-,-,2,"Excelente nivel de comunicación, habilidad de análisis y resolución de problemas. Atención al detalle sin perder de vista el entorno completo del proyecto. Entendimiento de herramientas de trabajo remoto. Habilidad de trabajar en varios proyectos a la vez",Ingles,month,Carlos,Construir herramientas basadas en Python para convertir documentos bancarios offline en bases de datos conectadas con herramientas online.Resolver los problemas de migración de datos de los clientes.Documentar y monitorear los ajustes en los ambientes de producción.Escalar problemas sin resolver al equipo adecuado.Colaborar con el resto del equipo para dar un excelente soporte técnico.Seguir los procesos implementados de la empresa.
260,Analista de Finanzas Corporativas Confidencial,Analista de Finanzas Corporativas,Confidencial,México,Ciudad de México,900,1100,MXN,Salud,14/09/22,15/10/22,FULL_TIME,MX,,3,Not specified,1,1000,Excel,Híbrido,"Lic. Finanzas, Economía, Actuaría o Administración",3,-,-,month,Carlos,"Conocimientos de Contabilidad, Estados Financieros, Costos, Rentabilidad, Presupuestos, bases de datos. Planeación y análisis financiero. Experiencia en la gestión/atención a áreas comerciales y operativas como cliente interno.Deseable Experiencia en Negocios de Consumo y Retail."
263,Analista de Información Servicios de Telecomunicaciones,Analista de Información,Servicios de Telecomunicaciones,not specified,not specified,551.7,,MXN,not specified,14/09/22,15/10/22,FULL_TIME,MX,,4,Not specified,1,551.7,"SQL, SSIS, Excel, Office",-,"Licenciatura trunca/concluida en Actuaría, Matemáticas, Estadística o afín",-,-,-,month,Carlos,Generación de Reportes. Automatización de reportes. Soporte para pruebas y validación de datos. Elaborar reportes sobre el comportamiento de las carteras. Generar la información necesaria para la correcta toma de decisiones
264,Analista mesa de ayuda/ sql básico Alia Integrando Talento,Analista mesa de ayuda/ sql básico,Alia Integrando Talento,not specified,not specified,750,,MXN,not specified,01/09/22,15/10/22,FULL_TIME,MX,,1,Not specified,0,750,SQL,-,"TSU o LIC Técnico en Informática, Lic o Ing Electrónica, Mecatrónica, Mecánica, informática (Trunca, pasantes, titulados)",3,-,-,month,Carlos,Conocimiento en base de datos SQL (básico) que cumpla con los siguientes requisitos. Manejo de herramientas de gestión de tickets.
265,Analista de Bases de Datos GRUPO CONSULTORES,Analista de Bases de Datos,GRUPO CONSULTORES,not specified,not specified,500,600,MXN,not specified,08/09/22,15/10/22,FULL_TIME,MX,,3,Not specified,1,550,Excel,-,"LICENCIATURA EN CONTADURIA, FINANZAS, ECONOMIA O AFIN",2,MANEJO DE ESTRES Y TRABAJO BAJO PRESION,-,month,Carlos,"MANEJO DE EXCELL AVANZADO ( MACROS, FORMULAS , TABLAS DINAMICAS ). HABILIDAD MATEMATICA"
266,Analista de Datos - Experto en Excel HUMAN RS,Analista de Datos - Experto en Excel,HUMAN RS,not specified,not specified,1400,1500,MXN,not specified,30/08/22,15/10/22,FULL_TIME,MX,,3,Not specified,1,1450,Excel avanzado,-,"Lic. Admi, Ing. Industrial, Ing sistemas, informática, carreras afín",2,-,inglés avanzado,month,Carlos,"Alimentar el sistema SuccesFactors, con la data de recursos humanos. Crear bases de datos para todos los registros de personal en el sistema. Elaborar informes de personal diarios o semanales para los gerentes superiores. Fungir como contacto para todo el soporte técnico del software y recursos humanos. Capacitar al personal y crear manuales sobre cómo usar el software y el sistema de gestión de RRHH de manera efectiva y eficiente."
268,Analista de Datos Labor Confidence s.c,Analista de Datos,Labor Confidence s.c,Baja California,Tijuana,1100,1250,MXN,not specified,09/09/22,15/10/22,FULL_TIME,MX,,0,Not specified,0,1175,-,-,,-,-,-,month,Carlos,"El Analista de Datos Jr es responsable de generar dashboards y reportes, así como crear y/o utilizar herramientas de análisis que den a conocer el estado del negocio, tendencias, y cumplimiento de objetivos. El analista utilizara información interna y recopilara información externa para ayudar a Viamericas en temas de marketing, investigación, soporte en términos de datos, y reportes utilizando procesos existentes. El Analista de Datos Jr también reportará sobre el desempeño de campañas de marketing, dar seguimiento al inventario del departamento, y solicitudes ad-hoc relacionadas a las tareas y objetivos del departamento"
269,Analista de Prevención de Fraudes- Home office Vexi tarjeta de crédito,Analista de Prevención de Fraudes- Home office,Vexi tarjeta de crédito,not specified,not specified,575,,MXN,not specified,06/09/22,15/10/22,FULL_TIME,MX,,2,Not specified,1,575,"Office, Excel",-,Licenciatura trunca o concluida en áreas Económico-Administrativas.,1,Capacidad de Análisis. Proactividad. Trabajo en equipo. Adaptación al cambio. AutodidactaAnálisis y solución de problemas. Trabajo bajo presión,,month,Carlos,Revisión y aprobación de líneas de crédito en mesa de control.Monitoreo y Análisis de bases de datos para detectar riesgos en fraude inicial y/o transaccional.Obtención de muestreo y estadísticas de posibles casos riesgosos en la operación.Contribuir a la implementación de estrategias en las diferentes herramientas y sistemas de prevención de fraudes.Identificar las transacciones con posibles indicios de fraude.Actualizar bases de datos internas que ayuden en el control y administración de la información.Mantener actualizados los diferentes procesos relacionados con prevención de fraudes.Registro y marcado de transacciones no reconocidas o con riesgo.
270,Analista de Base de Datos Pedrote Marketing,Analista de Base de Datos,Pedrote Marketing,not specified,not specified,550,650,MXN,not specified,30/08/22,15/10/22,FULL_TIME,MX,,2,Not specified,1,600,"excel, Bases de datos",-,Licenciatura trunca o concluida,1,-,-,month,Carlos,Manejo de Excel avanzado. Manejo de base de datos. Analista de procesos. Valores únicos. Tablas dinámicas avanzadas. Campos calculados.
273,Analista de Informacion Tiendatek,Analista de Informacion,Tiendatek,not specified,not specified,750,"7,575,465",MXN,not specified,16/08/22,15/10/22,FULL_TIME,MX,,0,Not specified,1,"7,537,732,500,000,000",-,-,"Licenciatura económica administrativa actuaría, economía, negocios, finanzas, matemáticas aplicadas o ingeniero industrial",2,Actitud de servicio,-,month,Carlos,Generar reportes y/o presentaciones con recomendaciones a través del análisis de datos que nos permitan un entendimiento del canal tradicional y/o de categorías específicas.Transformación y Limpieza de Bases de Datos. Elaboración y actualización de reportes y presentaciones. Identificar patrones y dar recomendaciones
277,Analista de bases de Datos A&P Advertising and Promotion,Analista de bases de Datos,A&P Advertising and Promotion,not specified,not specified,1200,,MXN,not specified,16/08/22,15/10/22,FULL_TIME,MX,,5,Not specified,1,1200,"SQL, Java, Ruby, Power BI, Phyton",Híbrido,"Lic. Concluida en actuaría, economía, administración, mercadotecnia o afín, relacionada al análisis de datos, concluida",2,-,Ingles intermedio,month,Carlos,"Análisis de información de niveles de abasto y reabasto. Procesos administrativos con la fuerza de ventas. Elaboración y análisis de Forecast. Planeación y análisis de ciclos de ventas para maximizar resultados. Control previo a auditorias. Elaboración y seguimiento de KPI'S. SELL IN, SELL OUT. Elaboración y creación de reportes y dashboards"
278,Analista de Datos BM Reclutamiento,Analista de Datos,BM Reclutamiento,not specified,not specified,1250,,MXN,not specified,23/08/22,15/10/22,FULL_TIME,MX,,2,Not specified,1,1250,"excel, Bases de datos",-,"Licenciatura en actuaría, economía, matemáticas o afín",3,-,Inglés conversacional indispensable,month,Carlos,Deseable conocimiento en cumplimiento normativo (no indispensable)Manejo de bases de datos. Identificación de riesgos en perfiles de clientes. Análisis financiero
279,Analista de Base de Datos Milla Y Asociados S.C,Analista de Base de Datos,Milla Y Asociados S.C,not specified,not specified,445,,MXN,not specified,09/09/22,15/10/22,FULL_TIME,MX,,5,Not specified,0,445,"Word, Excel",-,-,-,-,-,month,Carlos,Elaboración de reportería. Análisis de información
280,ANALISTA DE DATOS ALTUMWARE,ANALISTA DE DATOS,ALTUMWARE,Nuevo León,Monterrey,1000,1250,MXN,not specified,13/09/22,15/10/22,FULL_TIME,MX,,3,Not specified,1,1125,"Office, Excel, SQL",-,-,3,-,Inglés  intermedio o Avanzando,month,Carlos,"Alto nivel analítico y referencial de información, relaciones, limpieza y consistencia de datos. Conocimientos Operativo-Administrativo en la conciliación de información. Alto nivel de análisis lógico – numérico. Agilidad de aprendizaje de procesos y mapeo a datos. SQL – básico (consultas de información) – requerido.Uso efectivo y eficiente de MS-Office (Excel avanzado). Depuración-limpieza, mapeo y/o migración masiva de datos"
281,Data Analyst Confidencial,Data Analyst,Confidencial,Nuevo León,Monterrey,1500,2250,MXN,not specified,15/09/22,16/10/22,FULL_TIME,MX,,3,Not specified,1,1875,"Excel, Herramientas BI, Dashboard",-,-,4,-,Inglés avanzado y fluido,month,Carlos,Responsable de crear y mantener canalizaciones de datos para proyectos asignados. Realizar manipulaciones de datos complejas para prepararlos para el análisis/modelado. Analizar datos para evaluar la calidad de los datos y proporcionar información al negocio
282,Analista de Migracion de Datos (Data Migration Analyst) CodersLink,Analista de Migracion de Datos (Data Migration Analyst),CodersLink,not specified,not specified,2500,5000,MXN,not specified,09/09/22,16/10/22,FULL_TIME,MX,,2,Not specified,1,3750,"Python, SQL",-,-,2,Excelente nivel de comunicación. Habilidad de análisis. Resolución de problemas. Atención al detalle sin perder de vista el entorno completo del proyecto. Entendimiento de herramientas de trabajo remoto. Habilidad de trabajar en varios proyectos a la vez,Ingles,month,Carlos,Construir herramientas basadas en Python para convertir documentos bancarios offline en bases de datos conectadas con herramientas online. Resolver los problemas de migración de datos de los clientes. Documentar y monitorear los ajustes en los ambientes de producción. Escalar problemas sin resolver al equipo adecuado. Colaborar con el resto del equipo para dar un excelente soporte técnico. Seguir los procesos implementados de la empresa
283,Data Analyst Confíe Tijuana,Data Analyst,Confíe Tijuana,Baja California,Tijuana,"7,726,275","13,005,680,000,000,000",MXN,Seguros,18/08/22,16/10/22,FULL_TIME,MX,,8,Not specified,1,"10,365,977,500,000,000","Excel, VBA, Macros, SWL, ICBM, SQL, Postgre SQL, Javascript",Híbrido,-,1,-,Conversational English,month,Carlos,"Strong computer literacyInterpret data, analyze results using statistical techniques and provide ongoing reportsDevelop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and qualityAcquire data from primary or secondary data sources and maintain databases/data systemsIdentify, analyze, and interpret trends or patterns in complex data sets"
284,Data Minning TOI EXPERTOS HIPOTECARIOS,Data Minning,TOI EXPERTOS HIPOTECARIOS,Nuevo León,Monterrey,750,,MXN,not specified,01/09/22,16/10/22,FULL_TIME,MX,,7,Not specified,0,750,"Spark, Hadoop, Cassandra, R, Python, SQL, Non SQL",,,2,-,-,month,Carlos,"Dominio de Técnicas basadas en datos. Su hard skill principal es conocer los datos y saber trabajar con ellos en Inteligencia Artificial, Machine Learning, Big data, Deep Learning. Comunicación y colaboración· Descubrir las características que distinguen a un segmento del público objetivo. Encontrar oportunidades potenciales en conjuntos de datos dispares. Identificar problemas no reconocidos en las operaciones comerciales actuales"
