Puesto laboral,Empresa,Estado,Ciudad,Salario mínimo,Salario máximo,Tipo de moneda,Descripción,Giro de la empresa,Fecha de publicación,Vigencia de la oferta,País,Esquema de pago,Cantidad de lenguajes requeridos,Título ofrecido,Requerimiento educación,Salario promedio,Lenguajes de programación/tecnologías requeridas,Modalidad,Estudios previos,Experiencia (Años) ,Habilidades blandas,Idiomas
Data Engineer | Recent Graduates Opportunity,PCS Globaltech,Louisiana,New Orleans,5833.333333333333,6666.666666666667,USD,"Responsibilities· Analyze and organize raw data· Build data systems and pipelines· Evaluate business needs and objectives· Interpret trends and patterns· Conduct complex data analysis and report on results· Prepare data for prescriptive and predictive modeling· Build algorithms and prototypes· Combine raw information from different sources· Explore ways to enhance data quality and reliability· Identify opportunities for data acquisition· Develop analytical tools and programs· Collaborate with data scientists and architects on several projectsRequirements· Previous experience as a data engineer or in a similar role· Technical expertise with data models, data mining, and segmentation techniques· Knowledge of programming languages (e.g. Java and Python)· Hands-on experience with SQL database design· Great numerical and analytical skills· Degree in Computer Science, IT, or similar field (STEM)This opportunity is a career starter, what we offer an opportunity that starts with an intensive bootcamp followed by a full-time employment, we offer in house legal support for international students. At PCS Global Tech we care about the professional growth of our employees, we will make your professional career successful.Job Types: Full-time, ContractPay: $70,000.00 - $80,000.00 per yearSchedule:8 hour shiftMonday to FridayNo nightsWork Location: Multiple Locations",not specified,2022-08-24,2022-10-16,EUA,year,2,Not specified,1,6250.0,"java,python",híbrido,"technical expertise,  degree in computer science, it, or similar field (stem),",,collaborate,not specified
Big Data Engineer,GSLV Technologies LLC,not specified,not specified,6400.0,7200.0,USD,Role: Big data EngineerLocation: remoteBig data consultant strong with pyspark and can do independent client facing self starter kind very good tcs Amex remoteJob Type: Full-timeSalary: $40.00 - $45.00 per hourSchedule:8 hour shiftExperience:Informatica: 1 year (Preferred)SQL: 1 year (Preferred)Data warehouse: 1 year (Preferred)Work Location: Remote,not specified,2022-09-01,2022-10-16,EUA,hour,1,Not specified,0,6800.0,pyspark,remoto,not specified,4.0,not specified,not specified
GCP Data Engineer,"EnScope IT,LLC",not specified,not specified,8480.0,9600.0,USD,"4+ years working experience in Google Cloud Platform and BQ query Worked with Big Data Hadoop and Cloud solution Hands on with wide variety of use cases like ETL, Data Hubs, Data warehousing, Data lakesGood understanding of Enterprise grade Layered Data ArchitectureBusiness Intelligence Analytics, data visualization and Reporting in TableauJob Type: ContractPay: $53.00 - $60.00 per hourBenefits:Health insuranceSchedule:8 hour shiftWork Location: Remote",not specified,2022-09-12,2022-10-16,EUA,hour,5,Not specified,0,9040.0,"datahub,data warehouse,tableau,google cloud platform,gquery",remoto,not specified,4.0,not specified,not specified
Azure Data Engineer,Webyops Inc,not specified,not specified,6666.666666666667,10000.0,USD,"Role: Azure Data EngineerLocation: Houston, TX- hybrid (1-2 days a week in office)Duration: Long termLanguages: Python, C# , .NET , Ansible (Playbook and Yaml), Basic Linux commandsMust have experience working in: Azure Devops CI /CD, Agile Methodology, Azure Data Factory, and understand the backend development of the application.Good to have Azure Synapse Analytics, and Azure Data Catalog( Purview),Ideally based in Greater Houston area as role is hybrid (1-2 days a week in office)Job Type: Full-timePay: $80,000.00 - $120,000.00 per yearSchedule:8 hour shiftExperience:Azure Data Engineer: 2 years (Preferred)Language:English (Preferred)Work Location: Remote",not specified,2022-09-15,2022-10-16,EUA,year,10,Not specified,1,8333.333333333334,"python,c#,.net,ansible,playbook,yaml,linux,azure,agile,azure data factory",híbrido,azure data engineer: 2 years ,2.0,not specified,Inglés
Data Engineer - Airflow - Remote - Immediate Opportunity,iAppsData Inc,not specified,not specified,8800.0,,USD,"Experience with data pipeline and workflow management tools: Airflow.Experience with developing guidelines for Airflow clusters and DAG's/Task's etc.Experience with Performance tuning of the DAG and task implementationDevelop DAG - data pipeline to on-board and change management of datasetsExperience installing Apache Airflow, configuring, and monitoring Airflow clusterUnderstanding of airflow rest services and integration of airflow platform eco-systemWorking SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with databases.Knowledge about big data eco systems like Cloudera/Hortonworks components hadoop,spark,Hive etc..Experience in building and optimizing - big data- data pipelines, architectures, and data sets.Build processes supporting data transformation, data structures, metadata, dependency and workload management.Orchestrating the Airflow/workflow in hybrid cloud platform AWS/Azure/GCP setup and administration is a plus.Proficient in modern programming languages (Python,Java) with experience and open-source technologies.Possess professional software engineering practices and best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations.Knowledge in DEVOPS models with experience in containerization platform via building the docker,assembly,deployment,automation etc.. and best practices for managing the Applications.Experience in managing a shared services is a plus and knowledge about Infrastructure management capacity assessment,forecast,planning etc..Ability to maintain clean and secure data environmentsFast learner and a team playerApache Airflow FundamentalsAgile/Scrum principlesJob Type: ContractSalary: From $55.00 per hourSchedule:8 hour shiftWork Location: Remote",not specified,2022-09-06,2022-10-16,EUA,hour,2,Not specified,0,8800.0,"python,java",remoto,not specified,,"fast learner,  team player,",not specified
Data Engineer,Amiga Informatics Inc.,Texas,Irving,10833.333333333334,,USD,"Role: Data EngineerEmployment Type: FulltimeCity: IrvingState: TX (Need Onsite)Description: Must Have : Hadoop, HDFS, Spark, Hive, Scala/PySparkGood to have: Snowflake, SAS, Kafka, S3, Spark Container Services , Exposure to MLJob Type: Full-timeSalary: Up to $130,000.00 per yearSchedule:Monday to FridayExperience:Hadoop: 4 years (Preferred)HDFS: 4 years (Preferred)Spark: 3 years (Preferred)Hive: 3 years (Preferred)Scala/PySpark: 2 years (Preferred)Work Location: One location",Tecnologías de la información,2022-09-15,2022-10-16,EUA,year,9,Not specified,0,10833.333333333334,"hadoop,spark,hive,scala,pyspark,snowflake cloud data,sas,kafka,aws s3",presencial,not specified,4.0,not specified,not specified
Data Engineer with data catalogue,Cloud Shift Technologies LLC,not specified,not specified,7680.0,,USD,"Title: Data engineer with data catalogueWork: RemoteInterview mode: skypeDuration: 11+ months8+ years of experience is required.Job Description:Required:Data catalog curation; landing page, articles, tags, profiling, search, conversations, endorsements, notifications, deprecationsTraining/mentoring of data catalog stewardsWriting, maintaining, executing data catalog processes, maintain it run bookPreferred:Data catalog administration; add and configure data sources, metadata extract, query log ingestion, data sampling and compose query editorExperience establishing, monitoring, reporting data catalog metrics for Alation AnalyticsJob Type: ContractPay: $48.00 per hourSchedule:8 hour shift",not specified,2022-09-13,2022-10-16,EUA,hour,1,Not specified,0,7680.0,alation,remoto,not specified,8.0,not specified,not specified
Entry Level Data Engineer,BeaconFire Solution,New Jersey,East Windsor,5416.666666666667,6666.666666666667,USD,"Qualifications:Passion for data and a deep desire to learn.Bachelor’s Degree in Computer Science/Information Technology, Data Analytics/Data Science, or relateddiscipline.Intermediate Python. Experience in data processing is a plus. (Numpy, Pandas, etc)Strong written and verbal communication skills.Ability to work both independently and as part of a team.Responsibilities:Collaborate with analytics team to find reliable data solutions to meet the business needs.Design and implement scalable ETL or ELT processes to support the business demand for data.Perform data extraction, manipulation, and production from database tables.Build utilities, user-defined functions, and frameworks to better enable data flow patterns.Build and incorporate automated unit tests, participate in integration testing efforts.Work with teams to resolve operational & performance issues.Work with architecture/engineering leads and other teams to ensure quality solutions are implemented, andengineering best practices are defined and adhered to.Job Type: Full-timePay: $65,000.00 - $80,000.00 per yearBenefits:401(k)Dental insuranceHealth insurancePaid time offVision insuranceSchedule:Monday to FridaySupplemental pay types:Bonus payAbility to commute/relocate:East Windsor, NJ 08512: Reliably commute or planning to relocate before starting work (Required)Experience:SQL: 1 year (Preferred)Work Location: One location",Tecnologías de la información,2022-09-16,2022-10-16,EUA,year,3,Junior,1,6041.666666666667,"python,numpy,pandas",presencial,"bachelor’s degree in computer science/information technology, data analytics/data science, or relateddiscipline",,strong written and verbal communication ,not specified
Data Engineer REMOTE - 20507,FMK Corporation,not specified,not specified,9166.666666666666,10000.0,USD,"100% RemoteIn this role, you will have experience in understanding retail and/or wholesale business processes in order to design, develop, and deploy dimensional data models for reporting and analytics. These qualifications will ensure reliability, scalability, and performance for our growing enterprise Data Warehouse.Here's what you'll do:Create and maintain various database versions to model data to optimize database design and share relational data across various applications. Document data model standards and database diagrams. Work with cross-functional departments to coordinate the database changes in a timely and accurate manner.Utilize modeling tools to build and analyze databases and to develop logical and physical models to include relationships, constraints, attributes, and other modeling information to understand the impact of proposed systems, and set up approved systems. Identify, troubleshoot and resolve data integrity and performance issues.Design data model structures that enhance the application performance through the development of aggregation and summarization structures. Document model structures (i.e., keys, indexes, constraints) and partner with cross-functional IT (i.e., Data Warehouse/Database Administration) for the process of data normalization and physical database design.Gather and document business requirements and convert requirements into testable designs, and work with the business and application teams to refine design requirements on assigned projects.Maintain data reliability and integrity to eliminate data redundancy and streamline the reporting platform. Maintain current knowledge of organization data uses to recommend improvements and maintain data integrity.Establish and maintain common data definitions (i.e., naming guidelines, standard abbreviations, naming conventions) for database users to eliminate data redundancy and improve data integrity. Document data definitions and coordinate data models, dictionaries, and other database documentation acrossProvide technical guidance to the applications development team regarding database design to reduce the risk of design issues. Interface with appropriate IT sub-departments and/or cross-functional business areas to address concerns and resolve issues in a timely manner.Participate in the development of project scope and milestones to meet assigned project requirements. Partner cross-functionally to meet deadlines and audit databases/reports, and work with management on critical issues.Skills in order of importanceData Warehouse design/dev experienceETL and SQL skillsDataStageTalendSnowflakeUnix scriptingAzure DevOpsQlik ReplicateQlik ComposeProgramming experience (any language)RequirementsBachelor's Degree (Required) Computer Science Information Technology, Business Administration or related field or equivalent combination of education and/or experienceFive (5) years of Information Technology experience in database modeling/relational database administration. Experience with and knowledge of creating Data Warehouse dimensional models, data modeling tools, principles and practices, and related configuration management concepts.Programming PL/SQL and ETL development experience is necessary, Microsoft Azure (preferred)Experience creating logical and physical data models to optimize database design - experience in Erwin is a plus.Experience profiling and retrieving data from business applications using a wide variety of database platforms.Experience with modern ETL/ELT tools (Talend/Matillion/DataStage) preferably in a cloud environment.Experience with version control systems (Git/SCCS)Ability to identify, troubleshoot, and resolve data integrity and performance issuesBackground supporting retail or wholesale distribution would be advantageousJob Type: Full-timePay: $110,000.00 - $120,000.00 per yearBenefits:401(k)Dental insuranceHealth insurancePaid time offVision insuranceSchedule:Monday to FridayExperience:Database modeling/Admin: 5 years (Required)Data Warehouse Dimensional models: 5 years (Required)ETL tools (Talend/Matillion/DataStage): 5 years (Required)Work Location: Remote",not specified,2022-08-24,2022-10-16,EUA,year,6,Not specified,1,9583.333333333334,"sql,azure,erwin,talend,matillion,",remoto,"bachelor's degree (required) computer science information technology, business administration or related field or equivalent combination of education and/or experience",5.0,not specified,not specified
GCP DATA ENGINEER,Factspan Analytics,not specified,not specified,8333.333333333334,11666.666666666666,USD,"GCP DATA ENGINEER:Skillset:SQLCloud (GCP, BigQuery)PythonAirflow (Orchestration – DAGs creation & scheduling)Data Engineering: Data Ingestion, Migrations (Legacy to Cloud), Transformations and ValidationJob Types: Full-time, ContractSalary: $100,000.00 - $140,000.00 per yearSchedule:8 hour shiftExperience:Informatica: 1 year (Preferred)SQL: 1 year (Preferred)Data warehouse: 1 year (Preferred)Work Location: Remote",not specified,2022-09-16,2022-10-16,EUA,year,4,Not specified,0,10000.0,"sql,gquery,python,apache airflow",remoto,not specified,1.0,not specified,not specified
Data Engineer,Apptad Inc,not specified,not specified,9600.0,11200.0,USD,"Job Title: Sr Data EngineerJob Location: Anywhere onshore/offshore/nearshoreJob Duration: Long-TermJob Description:Skills: Orchestration, Data Pipelines, SQL Optimization, SQL, PythonTools knowledge: Snowflake, SQL, Airflow, dbtMust have 8+ Experience.Job Type: Full-timeSalary: $60.00 - $70.00 per hourExperience:Python: 2 years (Required)SQL Optimization: 3 years (Required)Data pipelines: 3 years (Required)Orchestration: 3 years (Required)Snowflake: 3 years (Required)Airflow: 2 years (Required)Work Location: Remote",Tecnologías de la información,2022-09-06,2022-10-16,EUA,hour,4,Not specified,0,10400.0,"sql,python,snowflake cloud data,airflow",remoto,not specified,8.0,not specified,not specified
Senior Data Engineer,MPower Staffing & Consulting,not specified,not specified,12500.0,14166.666666666666,USD,"Hi Job Seeker,One of my Clients is looking to fill the following job position. Please let me know if you or someone you know is a great match and would like to be consideredData Engineer (Sales Engineer)100% REMOTE (anywhere in the USA)Full Time Permanent RoleRequired Skills: Experience in working with PythonExperience in working with REST APIsJob Responsibilities: You will build strong relationships with stakeholders inside the organizations, from CDOs and Data Platform leaders on one hand to data engineers and analysts on the other. Your goal will be to understand the problems they're aiming to solve.You will be the trusted advisor for data teams on their journey to building a modern data platform. You'll evangelize Client and the broader principles of an agile data culture to the broader data community.You'll do whatever it takes to arm customers with all the information they need to make a decision about bringing on Client as a part of their daily workflows — from setting up customized demo flows to running trials and POCs, office hours, and more.You will be our eyes and ears on the ground, constantly hearing customer feedback and working closely with our product team to incorporate feedback into the product roadmap.You will enable prospective customers to understand the different contexts in which the Client's product can be effectively used and conceptualize new use cases and solutions.You'll work closely with cross-functional stakeholders like marketing, sales, product, and engineering to help build a category-defining company.You'll set up our sales engineering function, culture, and processes from the ground up.ThanksMPower Staffing & ConsultingJob Type: Full-timePay: $150,000.00 - $170,000.00 per yearSchedule:8 hour shiftApplication Question(s):What is your experience on Python and REST APIs?How were you able to attain your Target Quota for the last 3 years. If your goal was missed please explain the circumstances involved.What was your level of Quota Attainment for the last 3 years and what steps have you taken to ensure sustained success.What is the your highest level of education?Please provide your LinkedIn profile:What is the your work authorization status?What is the your desired total compensation? (Please specify base salary vs. commission/bonus expectation)Are you based on the west coast USA?Work Location: Remote",not specified,2022-09-15,2022-10-16,EUA,year,3,Senior,0,13333.333333333334,"python,rest,api",remoto,not specified,,not specified,not specified
